lat,lon360,lon180,pixelkm2
32.68,237.52,-122.48,21.05701515
32.68,237.565,-122.435,21.05701515
32.68,237.61,-122.39,21.05701515
32.68,237.655,-122.345,21.05701515
32.68,237.7,-122.3,21.05701515
32.68,237.745,-122.255,21.05701515
32.68,237.79,-122.21,21.05701515
32.68,237.835,-122.165,21.05701515
32.68,237.88,-122.12,21.05701515
32.68,237.925,-122.075,21.05701515
32.68,237.97,-122.03,21.05701515
32.68,238.015,-121.985,21.05701515
32.68,238.06,-121.94,21.05701515
32.68,238.105,-121.895,21.05701515
32.68,238.15,-121.85,21.05701515
32.68,238.195,-121.805,21.05701515
32.68,238.24,-121.76,21.05701515
32.68,238.285,-121.715,21.05701515
32.68,238.33,-121.67,21.05701515
32.68,238.375,-121.625,21.05701515
32.68,238.42,-121.58,21.05701515
32.68,238.465,-121.535,21.05701515
32.68,238.51,-121.49,21.05701515
32.68,238.555,-121.445,21.05701515
32.68,238.6,-121.4,21.05701515
32.68,238.645,-121.355,21.05701515
32.68,238.69,-121.31,21.05701515
32.68,238.735,-121.265,21.05701515
32.68,238.78,-121.22,21.05701515
32.68,238.825,-121.175,21.05701515
32.68,238.87,-121.13,21.05701515
32.68,238.915,-121.085,21.05701515
32.68,238.96,-121.04,21.05701515
32.68,239.005,-120.995,21.05701515
32.68,239.05,-120.95,21.05701515
32.68,239.095,-120.905,21.05701515
32.68,239.14,-120.86,21.05701515
32.68,239.185,-120.815,21.05701515
32.68,239.23,-120.77,21.05701515
32.68,239.275,-120.725,21.05701515
32.68,239.32,-120.68,21.05701515
32.68,239.365,-120.635,21.05701515
32.68,239.41,-120.59,21.05701515
32.68,239.455,-120.545,21.05701515
32.68,239.5,-120.5,21.05701515
32.68,239.545,-120.455,21.05701515
32.68,239.59,-120.41,21.05701515
32.68,239.635,-120.365,21.05701515
32.68,239.68,-120.32,21.05701515
32.68,239.725,-120.275,21.05701515
32.68,239.77,-120.23,21.05701515
32.68,239.815,-120.185,21.05701515
